#?PETBL/1.0
## name ISO-IR 165 (GL encoding)
#?o table-name="iso_ir_165"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="E"
0x256A	U+30EA		# KATAKANA LETTER RI
0x256B	U+30EB		# KATAKANA LETTER RU
0x256C	U+30EC		# KATAKANA LETTER RE
0x256D	U+30ED		# KATAKANA LETTER RO
0x256E	U+30EE		# KATAKANA LETTER SMALL WA
0x256F	U+30EF		# KATAKANA LETTER WA
0x2570	U+30F0		# KATAKANA LETTER WI
0x2571	U+30F1		# KATAKANA LETTER WE
0x2572	U+30F2		# KATAKANA LETTER WO
0x2573	U+30F3		# KATAKANA LETTER N
0x2574	U+30F4		# KATAKANA LETTER VU
0x2575	U+30F5		# KATAKANA LETTER SMALL KA
0x2576	U+30F6		# KATAKANA LETTER SMALL KE
0x2621	U+0391		# GREEK CAPITAL LETTER ALPHA
0x2622	U+0392		# GREEK CAPITAL LETTER BETA
0x2623	U+0393		# GREEK CAPITAL LETTER GAMMA
0x2624	U+0394		# GREEK CAPITAL LETTER DELTA
0x2625	U+0395		# GREEK CAPITAL LETTER EPSILON
0x2626	U+0396		# GREEK CAPITAL LETTER ZETA
0x2627	U+0397		# GREEK CAPITAL LETTER ETA
0x2628	U+0398		# GREEK CAPITAL LETTER THETA
0x2629	U+0399		# GREEK CAPITAL LETTER IOTA
0x262A	U+039A		# GREEK CAPITAL LETTER KAPPA
0x262B	U+039B		# GREEK CAPITAL LETTER LAMDA
0x262C	U+039C		# GREEK CAPITAL LETTER MU
0x262D	U+039D		# GREEK CAPITAL LETTER NU
0x262E	U+039E		# GREEK CAPITAL LETTER XI
0x262F	U+039F		# GREEK CAPITAL LETTER OMICRON
0x2630	U+03A0		# GREEK CAPITAL LETTER PI
0x2631	U+03A1		# GREEK CAPITAL LETTER RHO
0x2632	U+03A3		# GREEK CAPITAL LETTER SIGMA
0x2633	U+03A4		# GREEK CAPITAL LETTER TAU
0x2634	U+03A5		# GREEK CAPITAL LETTER UPSILON
0x2635	U+03A6		# GREEK CAPITAL LETTER PHI
0x2636	U+03A7		# GREEK CAPITAL LETTER CHI
0x2637	U+03A8		# GREEK CAPITAL LETTER PSI
0x2638	U+03A9		# GREEK CAPITAL LETTER OMEGA
0x2641	U+03B1		# GREEK SMALL LETTER ALPHA
0x2642	U+03B2		# GREEK SMALL LETTER BETA
0x2643	U+03B3		# GREEK SMALL LETTER GAMMA
0x2644	U+03B4		# GREEK SMALL LETTER DELTA
0x2645	U+03B5		# GREEK SMALL LETTER EPSILON
0x2646	U+03B6		# GREEK SMALL LETTER ZETA
0x2647	U+03B7		# GREEK SMALL LETTER ETA
0x2648	U+03B8		# GREEK SMALL LETTER THETA
0x2649	U+03B9		# GREEK SMALL LETTER IOTA
0x264A	U+03BA		# GREEK SMALL LETTER KAPPA
0x264B	U+03BB		# GREEK SMALL LETTER LAMDA
0x264C	U+03BC		# GREEK SMALL LETTER MU
0x264D	U+03BD		# GREEK SMALL LETTER NU
0x264E	U+03BE		# GREEK SMALL LETTER XI
0x264F	U+03BF		# GREEK SMALL LETTER OMICRON
0x2650	U+03C0		# GREEK SMALL LETTER PI
0x2651	U+03C1		# GREEK SMALL LETTER RHO
0x2652	U+03C3		# GREEK SMALL LETTER SIGMA
0x2653	U+03C4		# GREEK SMALL LETTER TAU
0x2654	U+03C5		# GREEK SMALL LETTER UPSILON
0x2655	U+03C6		# GREEK SMALL LETTER PHI
0x2656	U+03C7		# GREEK SMALL LETTER CHI
0x2657	U+03C8		# GREEK SMALL LETTER PSI
0x2658	U+03C9		# GREEK SMALL LETTER OMEGA
0x2721	U+0410		# CYRILLIC CAPITAL LETTER A
0x2722	U+0411		# CYRILLIC CAPITAL LETTER BE
0x2723	U+0412		# CYRILLIC CAPITAL LETTER VE
