#?PETBL/1.0
## name	JIS X 0208-1983 (used with ISO/IEC 646:1991 IRV) (GL encoding)
#?o table-name="jisx0208_1983_irv"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="B"
0x2732	U+0420		# CYRILLIC CAPITAL LETTER ER
0x2733	U+0421		# CYRILLIC CAPITAL LETTER ES
0x2734	U+0422		# CYRILLIC CAPITAL LETTER TE
0x2735	U+0423		# CYRILLIC CAPITAL LETTER U
0x2736	U+0424		# CYRILLIC CAPITAL LETTER EF
0x2737	U+0425		# CYRILLIC CAPITAL LETTER HA
0x2738	U+0426		# CYRILLIC CAPITAL LETTER TSE
0x2739	U+0427		# CYRILLIC CAPITAL LETTER CHE
0x273A	U+0428		# CYRILLIC CAPITAL LETTER SHA
0x273B	U+0429		# CYRILLIC CAPITAL LETTER SHCHA
0x273C	U+042A		# CYRILLIC CAPITAL LETTER HARD SIGN
0x273D	U+042B		# CYRILLIC CAPITAL LETTER YERU
0x273E	U+042C		# CYRILLIC CAPITAL LETTER SOFT SIGN
0x273F	U+042D		# CYRILLIC CAPITAL LETTER E
0x2740	U+042E		# CYRILLIC CAPITAL LETTER YU
0x2741	U+042F		# CYRILLIC CAPITAL LETTER YA
0x2751	U+0430		# CYRILLIC SMALL LETTER A
0x2752	U+0431		# CYRILLIC SMALL LETTER BE
0x2753	U+0432		# CYRILLIC SMALL LETTER VE
0x2754	U+0433		# CYRILLIC SMALL LETTER GHE
0x2755	U+0434		# CYRILLIC SMALL LETTER DE
0x2756	U+0435		# CYRILLIC SMALL LETTER IE
0x2757	U+0451		# CYRILLIC SMALL LETTER IO
0x2758	U+0436		# CYRILLIC SMALL LETTER ZHE
0x2759	U+0437		# CYRILLIC SMALL LETTER ZE
0x275A	U+0438		# CYRILLIC SMALL LETTER I
0x275B	U+0439		# CYRILLIC SMALL LETTER SHORT I
0x275C	U+043A		# CYRILLIC SMALL LETTER KA
0x275D	U+043B		# CYRILLIC SMALL LETTER EL
0x275E	U+043C		# CYRILLIC SMALL LETTER EM
0x275F	U+043D		# CYRILLIC SMALL LETTER EN
0x2760	U+043E		# CYRILLIC SMALL LETTER O
0x2761	U+043F		# CYRILLIC SMALL LETTER PE
0x2762	U+0440		# CYRILLIC SMALL LETTER ER
0x2763	U+0441		# CYRILLIC SMALL LETTER ES
0x2764	U+0442		# CYRILLIC SMALL LETTER TE
